"category","term","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","preferredNames","p_value","fdr","description","module"
"COMPARTMENTS","GOCC:0043226",31,7231,50429,"50429.A0A2B4R4W9,50429.A0A2B4R737,50429.A0A2B4R7K7,50429.A0A2B4RD04,50429.A0A2B4RLN6,50429.A0A2B4RM63,50429.A0A2B4RNY4,50429.A0A2B4RRM1,50429.A0A2B4RSY1,50429.A0A2B4RX17,50429.A0A2B4RYA6,50429.A0A2B4RZ35,50429.A0A2B4S0Y9,50429.A0A2B4S1J2,50429.A0A2B4S259,50429.A0A2B4S329,50429.A0A2B4S528,50429.A0A2B4S5P1,50429.A0A2B4S5S9,50429.A0A2B4SFC3,50429.A0A2B4SI33,50429.A0A2B4SKC4,50429.A0A2B4SNV4,50429.A0A2B4SP28,50429.A0A2B4SQF0,50429.A0A2B4SR04,50429.A0A2B4SSF9,50429.A0A2B4STH5,50429.A0A2B4SUN9,50429.A0A2B4SUY4,50429.A0A2B4SVZ0","Ing5,ING5,Rabgef1,JUN,ZFR,Mlc-c,Ppp1r9a,Ctnnbl1,TUBGCP2,PEX11G,Tppp2,FUT10,CENPN,acsf2,rpl11,RpL11,IDI1,spen,DNAJC13,KAT6B,LAPTM4A,CASC3,ddx4,DNAH3,RPS6KA5,Lyrm7,PRPF4B,PRKCSH,chmp1a,MANEA,CHST11",4.52e-05,0.0261,"Organelle","steelblue"
"COMPARTMENTS","GOCC:0043229",29,6534,50429,"50429.A0A2B4R4W9,50429.A0A2B4R737,50429.A0A2B4R7K7,50429.A0A2B4RD04,50429.A0A2B4RLN6,50429.A0A2B4RM63,50429.A0A2B4RRM1,50429.A0A2B4RSY1,50429.A0A2B4RX17,50429.A0A2B4RZ35,50429.A0A2B4S0Y9,50429.A0A2B4S1J2,50429.A0A2B4S259,50429.A0A2B4S329,50429.A0A2B4S528,50429.A0A2B4S5P1,50429.A0A2B4S5S9,50429.A0A2B4SFC3,50429.A0A2B4SI33,50429.A0A2B4SKC4,50429.A0A2B4SNV4,50429.A0A2B4SP28,50429.A0A2B4SQF0,50429.A0A2B4SR04,50429.A0A2B4SSF9,50429.A0A2B4STH5,50429.A0A2B4SUN9,50429.A0A2B4SUY4,50429.A0A2B4SVZ0","Ing5,ING5,Rabgef1,JUN,ZFR,Mlc-c,Ctnnbl1,TUBGCP2,PEX11G,FUT10,CENPN,acsf2,rpl11,RpL11,IDI1,spen,DNAJC13,KAT6B,LAPTM4A,CASC3,ddx4,DNAH3,RPS6KA5,Lyrm7,PRPF4B,PRKCSH,chmp1a,MANEA,CHST11",5.33e-05,0.0261,"Intracellular organelle","steelblue"
"COMPARTMENTS","GOCC:0005622",37,10128,50429,"50429.A0A2B4R267,50429.A0A2B4R4W9,50429.A0A2B4R737,50429.A0A2B4R7K7,50429.A0A2B4RD04,50429.A0A2B4RLN6,50429.A0A2B4RM63,50429.A0A2B4RRM1,50429.A0A2B4RSY1,50429.A0A2B4RX17,50429.A0A2B4RZ35,50429.A0A2B4S0Y9,50429.A0A2B4S1J2,50429.A0A2B4S259,50429.A0A2B4S329,50429.A0A2B4S4J3,50429.A0A2B4S528,50429.A0A2B4S5P1,50429.A0A2B4S5S9,50429.A0A2B4S8X8,50429.A0A2B4S9N7,50429.A0A2B4SE86,50429.A0A2B4SFC3,50429.A0A2B4SI33,50429.A0A2B4SKC4,50429.A0A2B4SKV5,50429.A0A2B4SNV4,50429.A0A2B4SP28,50429.A0A2B4SQ43,50429.A0A2B4SQF0,50429.A0A2B4SR04,50429.A0A2B4SSF9,50429.A0A2B4STH5,50429.A0A2B4SUN9,50429.A0A2B4SUY4,50429.A0A2B4SVZ0,50429.A0A2B4SYS8","CASP7,Ing5,ING5,Rabgef1,JUN,ZFR,Mlc-c,Ctnnbl1,TUBGCP2,PEX11G,FUT10,CENPN,acsf2,rpl11,RpL11,ATG26,IDI1,spen,DNAJC13,ntmt1-b,CCT7,ATIC,KAT6B,LAPTM4A,CASC3,Caprin1,ddx4,DNAH3,CYTH1,RPS6KA5,Lyrm7,PRPF4B,PRKCSH,chmp1a,MANEA,CHST11,KXD1",0.00015,0.0421,"Intracellular","steelblue"
"Process","GO:0009987",45,12655,50429,"50429.A0A2B4R0N7,50429.A0A2B4R267,50429.A0A2B4R2Y6,50429.A0A2B4R4W9,50429.A0A2B4R737,50429.A0A2B4R7K7,50429.A0A2B4RHE5,50429.A0A2B4RLN6,50429.A0A2B4RM63,50429.A0A2B4RNY4,50429.A0A2B4RPS2,50429.A0A2B4RRM1,50429.A0A2B4RRX7,50429.A0A2B4RSY1,50429.A0A2B4RT58,50429.A0A2B4RV72,50429.A0A2B4RX17,50429.A0A2B4RYA6,50429.A0A2B4RZ35,50429.A0A2B4S0Y9,50429.A0A2B4S1J2,50429.A0A2B4S259,50429.A0A2B4S2E3,50429.A0A2B4S329,50429.A0A2B4S3Q4,50429.A0A2B4S4J3,50429.A0A2B4S528,50429.A0A2B4S5S9,50429.A0A2B4S8X8,50429.A0A2B4S9N7,50429.A0A2B4SE86,50429.A0A2B4SEJ2,50429.A0A2B4SFC3,50429.A0A2B4SKV5,50429.A0A2B4SN33,50429.A0A2B4SNV4,50429.A0A2B4SP28,50429.A0A2B4SQF0,50429.A0A2B4SR04,50429.A0A2B4SSF9,50429.A0A2B4SSP9,50429.A0A2B4STH5,50429.A0A2B4SUN9,50429.A0A2B4SV89,50429.A0A2B4SVZ0","Cad96Ca,CASP7,HMCN1,Ing5,ING5,Rabgef1,SORBS3,ZFR,Mlc-c,Ppp1r9a,Ca2,Ctnnbl1,TJP1,TUBGCP2,CA2,Chst11,PEX11G,Tppp2,FUT10,CENPN,acsf2,rpl11,Inf2,RpL11,ca2,ATG26,IDI1,DNAJC13,ntmt1-b,CCT7,ATIC,mocos,KAT6B,Caprin1,AP2M1,ddx4,DNAH3,RPS6KA5,Lyrm7,PRPF4B,SEMA5A,PRKCSH,chmp1a,zmcm6-b,CHST11",6.14e-06,0.0264,"Cellular process","steelblue"
"Component","GO:0005622",45,10794,50429,"50429.A0A2B4R267,50429.A0A2B4R4W9,50429.A0A2B4R737,50429.A0A2B4R7K7,50429.A0A2B4RD04,50429.A0A2B4RF51,50429.A0A2B4RHE5,50429.A0A2B4RLN6,50429.A0A2B4RM63,50429.A0A2B4RNY4,50429.A0A2B4RRM1,50429.A0A2B4RRX7,50429.A0A2B4RSY1,50429.A0A2B4RV72,50429.A0A2B4RX17,50429.A0A2B4RYA6,50429.A0A2B4RZ35,50429.A0A2B4S0Y9,50429.A0A2B4S1J2,50429.A0A2B4S259,50429.A0A2B4S2E3,50429.A0A2B4S329,50429.A0A2B4S528,50429.A0A2B4S5P1,50429.A0A2B4S5S9,50429.A0A2B4S8X8,50429.A0A2B4S9N7,50429.A0A2B4SE86,50429.A0A2B4SEJ2,50429.A0A2B4SFC3,50429.A0A2B4SI33,50429.A0A2B4SKV5,50429.A0A2B4SN33,50429.A0A2B4SNV4,50429.A0A2B4SP28,50429.A0A2B4SQ43,50429.A0A2B4SQF0,50429.A0A2B4SR04,50429.A0A2B4SSF9,50429.A0A2B4STH5,50429.A0A2B4SUN9,50429.A0A2B4SUY4,50429.A0A2B4SV89,50429.A0A2B4SVZ0,50429.A0A2B4SYS8","CASP7,Ing5,ING5,Rabgef1,JUN,ZBED1,SORBS3,ZFR,Mlc-c,Ppp1r9a,Ctnnbl1,TJP1,TUBGCP2,Chst11,PEX11G,Tppp2,FUT10,CENPN,acsf2,rpl11,Inf2,RpL11,IDI1,spen,DNAJC13,ntmt1-b,CCT7,ATIC,mocos,KAT6B,LAPTM4A,Caprin1,AP2M1,ddx4,DNAH3,CYTH1,RPS6KA5,Lyrm7,PRPF4B,PRKCSH,chmp1a,MANEA,zmcm6-b,CHST11,KXD1",2.04e-08,1.8e-05,"Intracellular anatomical structure","steelblue"
"Component","GO:0043226",39,8795,50429,"50429.A0A2B4R4W9,50429.A0A2B4R737,50429.A0A2B4R7K7,50429.A0A2B4RD04,50429.A0A2B4RF51,50429.A0A2B4RLN6,50429.A0A2B4RM63,50429.A0A2B4RNY4,50429.A0A2B4RRM1,50429.A0A2B4RRX7,50429.A0A2B4RSY1,50429.A0A2B4RV72,50429.A0A2B4RX17,50429.A0A2B4RYA6,50429.A0A2B4RZ35,50429.A0A2B4S0Y9,50429.A0A2B4S1J2,50429.A0A2B4S259,50429.A0A2B4S329,50429.A0A2B4S528,50429.A0A2B4S5P1,50429.A0A2B4S5S9,50429.A0A2B4S8X8,50429.A0A2B4SFC3,50429.A0A2B4SI33,50429.A0A2B4SKV5,50429.A0A2B4SN33,50429.A0A2B4SNV4,50429.A0A2B4SP28,50429.A0A2B4SQ43,50429.A0A2B4SQF0,50429.A0A2B4SR04,50429.A0A2B4SSF9,50429.A0A2B4STH5,50429.A0A2B4SUN9,50429.A0A2B4SUY4,50429.A0A2B4SV89,50429.A0A2B4SVZ0,50429.A0A2B4SYS8","Ing5,ING5,Rabgef1,JUN,ZBED1,ZFR,Mlc-c,Ppp1r9a,Ctnnbl1,TJP1,TUBGCP2,Chst11,PEX11G,Tppp2,FUT10,CENPN,acsf2,rpl11,RpL11,IDI1,spen,DNAJC13,ntmt1-b,KAT6B,LAPTM4A,Caprin1,AP2M1,ddx4,DNAH3,CYTH1,RPS6KA5,Lyrm7,PRPF4B,PRKCSH,chmp1a,MANEA,zmcm6-b,CHST11,KXD1",2.44e-07,0.00011,"Organelle","steelblue"
"Component","GO:0110165",54,17259,50429,"50429.A0A2B4R0N7,50429.A0A2B4R267,50429.A0A2B4R2Y6,50429.A0A2B4R4W9,50429.A0A2B4R737,50429.A0A2B4R7K7,50429.A0A2B4RD04,50429.A0A2B4RF51,50429.A0A2B4RHE5,50429.A0A2B4RLN6,50429.A0A2B4RM63,50429.A0A2B4RNY4,50429.A0A2B4RPS2,50429.A0A2B4RRM1,50429.A0A2B4RRX7,50429.A0A2B4RS25,50429.A0A2B4RSY1,50429.A0A2B4RT58,50429.A0A2B4RV72,50429.A0A2B4RX17,50429.A0A2B4RYA6,50429.A0A2B4RZ35,50429.A0A2B4S0Y9,50429.A0A2B4S1J2,50429.A0A2B4S259,50429.A0A2B4S2E3,50429.A0A2B4S329,50429.A0A2B4S3Q4,50429.A0A2B4S4J3,50429.A0A2B4S528,50429.A0A2B4S5P1,50429.A0A2B4S5S9,50429.A0A2B4S8X8,50429.A0A2B4S9N7,50429.A0A2B4SE86,50429.A0A2B4SEJ2,50429.A0A2B4SFC3,50429.A0A2B4SI33,50429.A0A2B4SKC4,50429.A0A2B4SKV5,50429.A0A2B4SN33,50429.A0A2B4SNV4,50429.A0A2B4SP28,50429.A0A2B4SQ43,50429.A0A2B4SQF0,50429.A0A2B4SR04,50429.A0A2B4SSF9,50429.A0A2B4SSP9,50429.A0A2B4STH5,50429.A0A2B4SUN9,50429.A0A2B4SUY4,50429.A0A2B4SV89,50429.A0A2B4SVZ0,50429.A0A2B4SYS8","Cad96Ca,CASP7,HMCN1,Ing5,ING5,Rabgef1,JUN,ZBED1,SORBS3,ZFR,Mlc-c,Ppp1r9a,Ca2,Ctnnbl1,TJP1,ccdc25,TUBGCP2,CA2,Chst11,PEX11G,Tppp2,FUT10,CENPN,acsf2,rpl11,Inf2,RpL11,ca2,ATG26,IDI1,spen,DNAJC13,ntmt1-b,CCT7,ATIC,mocos,KAT6B,LAPTM4A,CASC3,Caprin1,AP2M1,ddx4,DNAH3,CYTH1,RPS6KA5,Lyrm7,PRPF4B,SEMA5A,PRKCSH,chmp1a,MANEA,zmcm6-b,CHST11,KXD1",2.65e-07,0.00011,"Cellular anatomical entity","steelblue"
"Component","GO:0043227",35,7539,50429,"50429.A0A2B4R4W9,50429.A0A2B4R737,50429.A0A2B4R7K7,50429.A0A2B4RD04,50429.A0A2B4RF51,50429.A0A2B4RLN6,50429.A0A2B4RRM1,50429.A0A2B4RRX7,50429.A0A2B4RSY1,50429.A0A2B4RV72,50429.A0A2B4RX17,50429.A0A2B4RYA6,50429.A0A2B4RZ35,50429.A0A2B4S0Y9,50429.A0A2B4S1J2,50429.A0A2B4S259,50429.A0A2B4S329,50429.A0A2B4S528,50429.A0A2B4S5P1,50429.A0A2B4S5S9,50429.A0A2B4S8X8,50429.A0A2B4SFC3,50429.A0A2B4SI33,50429.A0A2B4SN33,50429.A0A2B4SNV4,50429.A0A2B4SP28,50429.A0A2B4SQF0,50429.A0A2B4SR04,50429.A0A2B4SSF9,50429.A0A2B4STH5,50429.A0A2B4SUN9,50429.A0A2B4SUY4,50429.A0A2B4SV89,50429.A0A2B4SVZ0,50429.A0A2B4SYS8","Ing5,ING5,Rabgef1,JUN,ZBED1,ZFR,Ctnnbl1,TJP1,TUBGCP2,Chst11,PEX11G,Tppp2,FUT10,CENPN,acsf2,rpl11,RpL11,IDI1,spen,DNAJC13,ntmt1-b,KAT6B,LAPTM4A,AP2M1,ddx4,DNAH3,RPS6KA5,Lyrm7,PRPF4B,PRKCSH,chmp1a,MANEA,zmcm6-b,CHST11,KXD1",8.57e-07,0.00019,"Membrane-bounded organelle","steelblue"
"Component","GO:0043229",37,8373,50429,"50429.A0A2B4R4W9,50429.A0A2B4R737,50429.A0A2B4R7K7,50429.A0A2B4RD04,50429.A0A2B4RF51,50429.A0A2B4RLN6,50429.A0A2B4RM63,50429.A0A2B4RNY4,50429.A0A2B4RRM1,50429.A0A2B4RRX7,50429.A0A2B4RSY1,50429.A0A2B4RV72,50429.A0A2B4RX17,50429.A0A2B4RZ35,50429.A0A2B4S0Y9,50429.A0A2B4S1J2,50429.A0A2B4S259,50429.A0A2B4S329,50429.A0A2B4S528,50429.A0A2B4S5P1,50429.A0A2B4S5S9,50429.A0A2B4S8X8,50429.A0A2B4SFC3,50429.A0A2B4SI33,50429.A0A2B4SKV5,50429.A0A2B4SN33,50429.A0A2B4SNV4,50429.A0A2B4SP28,50429.A0A2B4SQF0,50429.A0A2B4SR04,50429.A0A2B4SSF9,50429.A0A2B4STH5,50429.A0A2B4SUN9,50429.A0A2B4SUY4,50429.A0A2B4SV89,50429.A0A2B4SVZ0,50429.A0A2B4SYS8","Ing5,ING5,Rabgef1,JUN,ZBED1,ZFR,Mlc-c,Ppp1r9a,Ctnnbl1,TJP1,TUBGCP2,Chst11,PEX11G,FUT10,CENPN,acsf2,rpl11,RpL11,IDI1,spen,DNAJC13,ntmt1-b,KAT6B,LAPTM4A,Caprin1,AP2M1,ddx4,DNAH3,RPS6KA5,Lyrm7,PRPF4B,PRKCSH,chmp1a,MANEA,zmcm6-b,CHST11,KXD1",9.69e-07,0.00019,"Intracellular organelle","steelblue"
"Component","GO:0043231",33,7168,50429,"50429.A0A2B4R4W9,50429.A0A2B4R737,50429.A0A2B4R7K7,50429.A0A2B4RD04,50429.A0A2B4RF51,50429.A0A2B4RLN6,50429.A0A2B4RRM1,50429.A0A2B4RRX7,50429.A0A2B4RSY1,50429.A0A2B4RV72,50429.A0A2B4RX17,50429.A0A2B4RZ35,50429.A0A2B4S0Y9,50429.A0A2B4S1J2,50429.A0A2B4S259,50429.A0A2B4S329,50429.A0A2B4S528,50429.A0A2B4S5P1,50429.A0A2B4S5S9,50429.A0A2B4S8X8,50429.A0A2B4SFC3,50429.A0A2B4SI33,50429.A0A2B4SN33,50429.A0A2B4SNV4,50429.A0A2B4SQF0,50429.A0A2B4SR04,50429.A0A2B4SSF9,50429.A0A2B4STH5,50429.A0A2B4SUN9,50429.A0A2B4SUY4,50429.A0A2B4SV89,50429.A0A2B4SVZ0,50429.A0A2B4SYS8","Ing5,ING5,Rabgef1,JUN,ZBED1,ZFR,Ctnnbl1,TJP1,TUBGCP2,Chst11,PEX11G,FUT10,CENPN,acsf2,rpl11,RpL11,IDI1,spen,DNAJC13,ntmt1-b,KAT6B,LAPTM4A,AP2M1,ddx4,RPS6KA5,Lyrm7,PRPF4B,PRKCSH,chmp1a,MANEA,zmcm6-b,CHST11,KXD1",3.35e-06,0.00049,"Intracellular membrane-bounded organelle","steelblue"
"Component","GO:0005737",33,7664,50429,"50429.A0A2B4R267,50429.A0A2B4R7K7,50429.A0A2B4RHE5,50429.A0A2B4RLN6,50429.A0A2B4RNY4,50429.A0A2B4RSY1,50429.A0A2B4RV72,50429.A0A2B4RX17,50429.A0A2B4RYA6,50429.A0A2B4RZ35,50429.A0A2B4S1J2,50429.A0A2B4S259,50429.A0A2B4S2E3,50429.A0A2B4S329,50429.A0A2B4S528,50429.A0A2B4S5S9,50429.A0A2B4S8X8,50429.A0A2B4S9N7,50429.A0A2B4SE86,50429.A0A2B4SEJ2,50429.A0A2B4SI33,50429.A0A2B4SKV5,50429.A0A2B4SN33,50429.A0A2B4SNV4,50429.A0A2B4SP28,50429.A0A2B4SQ43,50429.A0A2B4SQF0,50429.A0A2B4SR04,50429.A0A2B4STH5,50429.A0A2B4SUN9,50429.A0A2B4SUY4,50429.A0A2B4SVZ0,50429.A0A2B4SYS8","CASP7,Rabgef1,SORBS3,ZFR,Ppp1r9a,TUBGCP2,Chst11,PEX11G,Tppp2,FUT10,acsf2,rpl11,Inf2,RpL11,IDI1,DNAJC13,ntmt1-b,CCT7,ATIC,mocos,LAPTM4A,Caprin1,AP2M1,ddx4,DNAH3,CYTH1,RPS6KA5,Lyrm7,PRKCSH,chmp1a,MANEA,CHST11,KXD1",1.63e-05,0.0021,"Cytoplasm","steelblue"
"Component","GO:0098588",9,708,50429,"50429.A0A2B4RV72,50429.A0A2B4RX17,50429.A0A2B4S5S9,50429.A0A2B4SI33,50429.A0A2B4SN33,50429.A0A2B4SUN9,50429.A0A2B4SUY4,50429.A0A2B4SVZ0,50429.A0A2B4SYS8","Chst11,PEX11G,DNAJC13,LAPTM4A,AP2M1,chmp1a,MANEA,CHST11,KXD1",3.22e-05,0.0036,"Bounding membrane of organelle","steelblue"
"Component","GO:0032991",17,3135,50429,"50429.A0A2B4R0N7,50429.A0A2B4RM63,50429.A0A2B4RRM1,50429.A0A2B4RSY1,50429.A0A2B4RX17,50429.A0A2B4S259,50429.A0A2B4S329,50429.A0A2B4S5P1,50429.A0A2B4S9N7,50429.A0A2B4SFC3,50429.A0A2B4SN33,50429.A0A2B4SP28,50429.A0A2B4SSF9,50429.A0A2B4STH5,50429.A0A2B4SUN9,50429.A0A2B4SV89,50429.A0A2B4SYS8","Cad96Ca,Mlc-c,Ctnnbl1,TUBGCP2,PEX11G,rpl11,RpL11,spen,CCT7,KAT6B,AP2M1,DNAH3,PRPF4B,PRKCSH,chmp1a,zmcm6-b,KXD1",0.00045,0.0439,"Protein-containing complex","steelblue"
"Function","GO:0005488",43,11510,50429,"50429.A0A2B4R0N7,50429.A0A2B4R2Y6,50429.A0A2B4R4W9,50429.A0A2B4R737,50429.A0A2B4R7K7,50429.A0A2B4RD04,50429.A0A2B4RF51,50429.A0A2B4RHE5,50429.A0A2B4RLN6,50429.A0A2B4RM63,50429.A0A2B4RNY4,50429.A0A2B4RPS2,50429.A0A2B4RRM1,50429.A0A2B4RRX7,50429.A0A2B4RS25,50429.A0A2B4RSY1,50429.A0A2B4RT58,50429.A0A2B4RX17,50429.A0A2B4RYA6,50429.A0A2B4S1J2,50429.A0A2B4S259,50429.A0A2B4S2E3,50429.A0A2B4S329,50429.A0A2B4S3Q4,50429.A0A2B4S528,50429.A0A2B4S5P1,50429.A0A2B4S5S9,50429.A0A2B4S9N7,50429.A0A2B4SE86,50429.A0A2B4SEJ2,50429.A0A2B4SFC3,50429.A0A2B4SKC4,50429.A0A2B4SKV5,50429.A0A2B4SN33,50429.A0A2B4SNV4,50429.A0A2B4SP28,50429.A0A2B4SQ43,50429.A0A2B4SQF0,50429.A0A2B4SSF9,50429.A0A2B4SSP9,50429.A0A2B4STH5,50429.A0A2B4SUN9,50429.A0A2B4SV89","Cad96Ca,HMCN1,Ing5,ING5,Rabgef1,JUN,ZBED1,SORBS3,ZFR,Mlc-c,Ppp1r9a,Ca2,Ctnnbl1,TJP1,ccdc25,TUBGCP2,CA2,PEX11G,Tppp2,acsf2,rpl11,Inf2,RpL11,ca2,IDI1,spen,DNAJC13,CCT7,ATIC,mocos,KAT6B,CASC3,Caprin1,AP2M1,ddx4,DNAH3,CYTH1,RPS6KA5,PRPF4B,SEMA5A,PRKCSH,chmp1a,zmcm6-b",4.05e-06,0.0074,"Binding","steelblue"
"SMART","SM01057",3,19,50429,"50429.A0A2B4RPS2,50429.A0A2B4RT58,50429.A0A2B4S3Q4","Ca2,CA2,ca2",1.68e-05,0.0102,"Eukaryotic-type carbonic anhydrase","steelblue"
"Pfam","PF00281",2,2,50429,"50429.A0A2B4S259,50429.A0A2B4S329","rpl11,RpL11",3.05e-05,0.05,"Ribosomal protein L5","steelblue"
"Pfam","PF00673",2,2,50429,"50429.A0A2B4S259,50429.A0A2B4S329","rpl11,RpL11",3.05e-05,0.05,"Ribosomal L5P family C-terminus","steelblue"
"PMID","PMID:34157872",3,7,50429,"50429.A0A2B4RPS2,50429.A0A2B4RT58,50429.A0A2B4S3Q4","Ca2,CA2,ca2",1.33e-06,0.00031,"(2021) Combined responses of primary coral polyps and their algal endosymbionts to decreasing seawater pH.","steelblue"
"PMID","PMID:33203910",3,25,50429,"50429.A0A2B4RPS2,50429.A0A2B4RT58,50429.A0A2B4S3Q4","Ca2,CA2,ca2",3.53e-05,0.0042,"(2020) Longevity strategies in response to light in the reef coral Stylophora pistillata.","steelblue"
"PMID","PMID:33226083",2,7,50429,"50429.A0A2B4S259,50429.A0A2B4S329","rpl11,RpL11",0.00018,0.0102,"(2021) Photoreceptor Diversification Accompanies the Evolution of Anthozoa.","steelblue"
"PMID","PMID:33478602",3,41,50429,"50429.A0A2B4RPS2,50429.A0A2B4RT58,50429.A0A2B4S3Q4","Ca2,CA2,ca2",0.00014,0.0102,"(2021) Know your enemy - transcriptome of myxozoan Tetracapsuloides bryosalmonae reveals potential drug targets against proliferative kidney disease in salmonids.","steelblue"
"PMID","PMID:34824906",3,40,50429,"50429.A0A2B4RPS2,50429.A0A2B4RT58,50429.A0A2B4S3Q4","Ca2,CA2,ca2",0.00013,0.0102,"(2021) Multi-omic characterization of the thermal stress phenome in the stony coral Montipora capitata.","steelblue"
"PMID","PMID:33087060",3,65,50429,"50429.A0A2B4RPS2,50429.A0A2B4RT58,50429.A0A2B4S3Q4","Ca2,CA2,ca2",0.00051,0.0191,"(2020) De novo transcriptome assembly from the gonads of a scleractinian coral, Euphyllia ancora: molecular mechanisms underlying scleractinian gametogenesis.","steelblue"
"PMID","PMID:30116782",3,64,50429,"50429.A0A2B4S259,50429.A0A2B4S329,50429.A0A2B4SI33","rpl11,RpL11,LAPTM4A",0.00048,0.0191,"(2018) DNA methylation regulates transcriptional homeostasis of algal endosymbiosis in the coral model Aiptasia.","steelblue"
"NetworkNeighborAL","CL:25327",3,7,50429,"50429.A0A2B4RPS2,50429.A0A2B4RT58,50429.A0A2B4S3Q4","Ca2,CA2,ca2",1.33e-06,0.0051,"Carbonic anhydrase, alpha-class, and Peptidase C13, legumain","steelblue"
"COMPARTMENTS","GOCC:0005622",33,10128,50429,"50429.A0A2B4QZS5,50429.A0A2B4R1H8,50429.A0A2B4R4J8,50429.A0A2B4R9F0,50429.A0A2B4RBI8,50429.A0A2B4RC94,50429.A0A2B4RF23,50429.A0A2B4RG42,50429.A0A2B4RHJ7,50429.A0A2B4RI80,50429.A0A2B4RJ67,50429.A0A2B4RKN6,50429.A0A2B4RMH5,50429.A0A2B4RN92,50429.A0A2B4RTM4,50429.A0A2B4RU31,50429.A0A2B4RZV3,50429.A0A2B4S0M8,50429.A0A2B4S3R7,50429.A0A2B4S656,50429.A0A2B4S907,50429.A0A2B4S975,50429.A0A2B4SEE5,50429.A0A2B4SGC4,50429.A0A2B4SGV4,50429.A0A2B4SJH7,50429.A0A2B4SNA5,50429.A0A2B4SU26,50429.A0A2B4SUX9,50429.A0A2B4SVB8,50429.A0A2B4SWB2,50429.A0A2B4SX01,50429.A0A2B4SYL9","pol,POL,Pol,Sult1b1,Mab21L3,Dnmbp,Exosc5,SULT1B1,HSPA8,dctn6,Polr3e,WDY,STX12,Akr1a1,STUB1,Peli1,RPL32,Foxred2,Nkx2-2,Mthfr,Hspa8,PEX12,ABHD4,Coq7,MTHFR,Ptcd1,Nup54,wdr45b,SNRNP200,P65-C,TUBGCP4,PARP4,SYNJ1",5.84e-07,0.00068,"Intracellular","violet"
"Component","GO:0110165",40,17259,50429,"50429.A0A2B4QZS5,50429.A0A2B4R070,50429.A0A2B4R1H8,50429.A0A2B4R4J8,50429.A0A2B4R9F0,50429.A0A2B4RBI8,50429.A0A2B4RC94,50429.A0A2B4RD67,50429.A0A2B4RDP3,50429.A0A2B4RF23,50429.A0A2B4RG42,50429.A0A2B4RHJ7,50429.A0A2B4RI52,50429.A0A2B4RI80,50429.A0A2B4RJ67,50429.A0A2B4RMH5,50429.A0A2B4RN92,50429.A0A2B4RTM4,50429.A0A2B4RU31,50429.A0A2B4RZV3,50429.A0A2B4S0M8,50429.A0A2B4S3R7,50429.A0A2B4S656,50429.A0A2B4S907,50429.A0A2B4S975,50429.A0A2B4SCB2,50429.A0A2B4SEE5,50429.A0A2B4SFD7,50429.A0A2B4SGC4,50429.A0A2B4SGV4,50429.A0A2B4SJH7,50429.A0A2B4SNA5,50429.A0A2B4SSW9,50429.A0A2B4SU26,50429.A0A2B4SUX9,50429.A0A2B4SVB8,50429.A0A2B4SWB2,50429.A0A2B4SX01,50429.A0A2B4SYL9,50429.A0A2B4T0U2","pol,Nrx-IV,POL,Pol,Sult1b1,Mab21L3,Dnmbp,pfdn1,NPC1,Exosc5,SULT1B1,HSPA8,Npc1,dctn6,Polr3e,STX12,Akr1a1,STUB1,Peli1,RPL32,Foxred2,Nkx2-2,Mthfr,Hspa8,PEX12,AKR1A1,ABHD4,AOC1,Coq7,MTHFR,Ptcd1,Nup54,Aoc1,wdr45b,SNRNP200,P65-C,TUBGCP4,PARP4,SYNJ1,lamc1",2.09e-05,0.0184,"Cellular anatomical entity","violet"
"Component","GO:0005622",31,10794,50429,"50429.A0A2B4R9F0,50429.A0A2B4RBI8,50429.A0A2B4RC94,50429.A0A2B4RD67,50429.A0A2B4RF23,50429.A0A2B4RG42,50429.A0A2B4RHJ7,50429.A0A2B4RI80,50429.A0A2B4RJ67,50429.A0A2B4RMH5,50429.A0A2B4RN92,50429.A0A2B4RTM4,50429.A0A2B4RU31,50429.A0A2B4RZV3,50429.A0A2B4S0M8,50429.A0A2B4S3R7,50429.A0A2B4S656,50429.A0A2B4S907,50429.A0A2B4S975,50429.A0A2B4SCB2,50429.A0A2B4SEE5,50429.A0A2B4SGC4,50429.A0A2B4SGV4,50429.A0A2B4SJH7,50429.A0A2B4SNA5,50429.A0A2B4SU26,50429.A0A2B4SUX9,50429.A0A2B4SVB8,50429.A0A2B4SWB2,50429.A0A2B4SX01,50429.A0A2B4SYL9","Sult1b1,Mab21L3,Dnmbp,pfdn1,Exosc5,SULT1B1,HSPA8,dctn6,Polr3e,STX12,Akr1a1,STUB1,Peli1,RPL32,Foxred2,Nkx2-2,Mthfr,Hspa8,PEX12,AKR1A1,ABHD4,Coq7,MTHFR,Ptcd1,Nup54,wdr45b,SNRNP200,P65-C,TUBGCP4,PARP4,SYNJ1",6.27e-05,0.0277,"Intracellular anatomical structure","violet"
